Word,Count
WORKED,3
#CompoundButton},3
DAYS,3
<tr><td>invisible</td><td>1</td><td></td></tr>,3
android:drawable,3
box,3
com.example.randy.sample.R.attr#popupTheme},3
add,3
list,3
putting,3
com.example.randy.sample:layout_constraintWidth_min,2
com.example.randy.sample:layout_constrainedWidth,2
com.example.randy.sample:contentInsetStartWithNavigation}</code></td><td></td></tr>,2
#SearchView_iconifiedByDefault,2
com.example.randy.sample:layout_constraintWidth_percent,2
#AppCompatTheme_textAppearanceListItemSecondary,2
com.example.randy.sample:layout_constraintStart_toStartOf}</code></td><td></td></tr>,2
#AppCompatTheme_dropdownListPreferredItemHeight,2
com.example.randy.sample.R.attr#textAllCaps},2
#SwitchCompat_switchMinWidth,2
com.example.randy.sample:layout_constraintHeight_min}</code></td><td></td></tr>,2
#AlertDialog_listLayout,2
com.example.randy.sample:layout_constraintTop_toTopOf}</code></td><td></td></tr>,2
#ListPopupWindow_android_dropDownHorizontalOffset,2
#CoordinatorLayout_Layout_android_layout_gravity,2
com.example.randy.sample:layout_constraintBaseline_toBaselineOf}</code></td><td></td></tr>,2
com.example.randy.sample:layout_constraintHeight_default,2
#PopupWindow_android_popupAnimationStyle,2
com.example.randy.sample.R.attr#contentInsetStart},2
#AppCompatTextView_firstBaselineToTopHeight,2
#View_theme,2
com.example.randy.sample:contentInsetEndWithActions}</code></td><td></td></tr>,2
com.example.randy.sample:contentInsetEndWithActions,2
com.example.randy.sample:fontFamily,2
#View_paddingStart,2
<tr><td>disableHome</td><td>20</td><td></td></tr>,2
android.R.attr#constantSize},2
#LinearLayoutCompat_android_weightSum,2
#ConstraintSet_layout_constraintTop_toTopOf,2
#LinearLayoutCompat_showDividers,2
#ViewStubCompat_android_inflatedId,2
#FontFamilyFont_fontWeight,2
<tr><td>end</td><td>4</td><td></td></tr>,2
#ConstraintSet_android_elevation,2
#AppCompatTheme_actionBarPopupTheme,2
EditText,2
#ConstraintLayout_Layout_android_orientation,2
<tr><td>async</td><td>1</td><td></td></tr>,2
#AppCompatTheme_actionModeCutDrawable,2
#SearchView_layout,2
<tr><td>homeAsUp</td><td>4</td><td></td></tr>,2
#ActionBar_progressBarStyle,2
#AppCompatTheme_dropDownListViewStyle,2
com.example.randy.sample.R.attr#layout_constraintHeight_max},2
\href="\http://d.android.com/tools/testing"\>Testing\,2
#AppCompatTheme_actionModePopupWindowStyle,2
#ConstraintSet_android_layout_marginStart,2
#MenuItem_iconTint,2
com.example.randy.sample.R.attr#subtitleTextStyle},2
recently,2
table,2
#ActionBar_background,2
#ConstraintSet_android_layout_marginLeft,2
#ConstraintLayout_Layout_layout_editor_absoluteY,2
<tr><td>left</td><td>0</td><td></td></tr>,2
com.example.randy.sample.R.attr#layout_constraintBottom_creator},2
com.example.randy.sample:homeAsUpIndicator}</code></td><td></td></tr>,2
#LinearLayoutCompat_android_gravity,2
com.example.randy.sample:contentInsetStart}</code></td><td></td></tr>,2
#ConstraintLayout_placeholder_emptyVisibility,2
com.example.randy.sample:divider}</code></td><td></td></tr>,2
#MenuItem_android_checkable,2
#MenuItem_actionLayout,2
#ConstraintSet_layout_constraintRight_toRightOf,2
#Spinner_android_popupBackground,2
com.example.randy.sample.R.attr#layout_constraintLeft_creator},2
#FontFamilyFont_android_fontVariationSettings,2
timeWorked,2
#AnimatedStateListDrawableTransition_android_reversible,2
#SwitchCompat_trackTint,2
#ConstraintSet_layout_constraintBottom_toTopOf,2
com.example.randy.sample:layout_goneMarginRight,2
#DrawerArrowToggle_spinBars,2
#AnimatedStateListDrawableCompat_android_dither,2
#AppCompatTheme_alertDialogButtonGroupStyle,2
<tr><td>collapseActionView</td><td>8</td><td></td></tr>,2
<tr><td>barrier</td><td>2</td><td></td></tr>,2
android:gravity,2
#ButtonBarLayout_allowStacking,2
android.R.attr#textAppearance},2
#ActionMode_subtitleTextStyle,2
android:exitFadeDuration,2
so,2
#FontFamilyFont_android_fontWeight,2
com.example.randy.sample.R.attr#layout_constraintHeight_percent},2
END,2
#AppCompatTheme_ratingBarStyleSmall,2
com.example.randy.sample:layout_constraintStart_toEndOf,2
#AppCompatTheme_autoCompleteTextViewStyle,2
#MenuItem_showAsAction,2
#AppCompatTheme_alertDialogStyle,2
#StateListDrawable_android_exitFadeDuration,2
com.example.randy.sample.R.attr#layout_constraintDimensionRatio},2
#AppCompatTheme_listPreferredItemHeightSmall,2
#SearchView_defaultQueryHint,2
#MenuGroup_android_menuCategory,2
#MenuItem_tooltipText,2
<tr><td>standard</td><td>3</td><td></td></tr>,2
#AppCompatTheme_tooltipFrameBackground,2
<tr><td>secondary</td><td>30000</td><td></td></tr>,2
com.example.randy.sample:layout_constraintHorizontal_weight,2
#ColorStateListItem_alpha,2
#AppCompatTheme_actionBarTabTextStyle,2
#CoordinatorLayout_statusBarBackground,2
android.R.attr#layout_height},2
com.example.randy.sample.R.attr#layout_constraintEnd_toEndOf},2
#ConstraintLayout_Layout_layout_constraintLeft_toLeftOf,2
#AppCompatTheme_searchViewStyle,2
#AppCompatTheme_editTextBackground,2
com.example.randy.sample.R.attr#layout_constraintBottom_toBottomOf},2
#AnimatedStateListDrawableTransition_android_drawable,2
com.example.randy.sample:layout_constraintBottom_creator,2
com.example.randy.sample:layout_constraintBaseline_creator,2
#ActionBar_titleTextStyle,2
correct,2
#AppCompatTheme_imageButtonStyle,2
#ActionBar_homeLayout,2
#ConstraintSet_android_transformPivotX,2
#ConstraintSet_layout_constraintGuide_percent,2
#FontFamilyFont_android_fontStyle,2
#AppCompatTheme_ratingBarStyle,2
#ConstraintSet_android_scaleX,2
<tr><td>direct</td><td>1</td><td></td></tr>,2
#StateListDrawable_android_visible,2
#AppCompatTheme_actionBarStyle,2
#TextAppearance_android_textStyle,2
#CoordinatorLayout_Layout_layout_dodgeInsetEdges,2
#AppCompatTheme_textAppearanceListItem,2
#Toolbar_titleMarginBottom,2
#GradientColor_android_centerX,2
#SwitchCompat_splitTrack,2
#FontFamilyFont_android_ttcIndex,2
android:menuCategory}</code></td><td></td></tr>,2
com.example.randy.sample:contentInsetEnd,2
com.example.randy.sample:layout_constraintEnd_toEndOf}</code></td><td></td></tr>,2
com.example.randy.sample:layout_constrainedHeight,2
#ConstraintSet_layout_constraintHeight_min,2
databse,2
#RecycleListView_paddingBottomNoButtons,2
com.example.randy.sample:layout_constraintHeight_max}</code></td><td></td></tr>,2
android.R.attr#layout_width},2
#ActionBar_contentInsetRight,2
#ConstraintLayout_Layout_android_maxHeight,2
#ConstraintSet_layout_constraintRight_toLeftOf,2
com.example.randy.sample.R.attr#layout_constraintBaseline_creator},2
#ActionBarLayout_android_layout_gravity,2
#ConstraintSet_layout_constraintCircle,2
#AppCompatTheme_colorControlActivated,2
#ConstraintSet_layout_constraintGuide_begin,2
#AppCompatImageView_srcCompat,2
#ColorStateListItem_android_alpha,2
#FontFamily_fontProviderQuery,2
#SearchView_closeIcon,2
#RecycleListView},2
#View_android_focusable,2
android:orderInCategory}</code></td><td></td></tr>,2
#ActionBar_height,2
adapter.notifyDataSetChanged();,2
#AppCompatSeekBar_android_thumb,2
<tr><td>alternative</td><td>40000</td><td></td></tr>,2
refreshes,2
#FontFamilyFont_fontVariationSettings,2
#AppCompatTheme_borderlessButtonStyle,2
#DrawerArrowToggle_arrowHeadLength,2
#Toolbar_titleMarginEnd,2
#ConstraintSet_layout_constraintHeight_max,2
#AlertDialog_buttonIconDimen,2
com.example.randy.sample:layout_constraintLeft_creator,2
#ConstraintLayout_Layout_layout_editor_absoluteX,2
#ConstraintSet_layout_constraintHeight_percent,2
#ActionBar_backgroundSplit,2
#ConstraintLayout_Layout_layout_constraintStart_toStartOf,2
#ConstraintSet_android_layout_marginTop,2
com.example.randy.sample:subtitleTextStyle}</code></td><td></td></tr>,2
com.example.randy.sample:layout_editor_absoluteY,2
android:constantSize}</code></td><td></td></tr>,2
#LinearLayoutCompat_Layout_android_layout_width,2
com.example.randy.sample:layout_goneMarginTop}</code></td><td></td></tr>,2
#SwitchCompat_android_thumb,2
com.example.randy.sample:layout_constraintVertical_weight,2
<tr><td>beginning</td><td>1</td><td></td></tr>,2
public,2
com.example.randy.sample:layout_goneMarginStart,2
#AppCompatTextView_autoSizeTextType,2
#MenuView_subMenuArrow,2
now,2
#DrawerArrowToggle_color,2
#SearchView_commitIcon,2
<tr><td>showHome</td><td>2</td><td></td></tr>,2
com.example.randy.sample.R.attr#layout_goneMarginBottom},2
com.example.randy.sample:layout_constraintVertical_weight}</code></td><td></td></tr>,2
#AppCompatTheme_textColorSearchUrl,2
#ConstraintSet_layout_constraintHeight_default,2
com.example.randy.sample.R.attr#layout_constraintHeight_default},2
com.example.randy.sample.R.attr#layout_editor_absoluteX},2
#AppCompatTextHelper_android_drawableStart,2
#ConstraintSet_layout_constraintVertical_bias,2
#GradientColor_android_startX,2
#ConstraintLayout_Layout_layout_constraintRight_toLeftOf,2
#ConstraintSet_android_layout_marginRight,2
android:focusable}</code></td><td></td></tr>,2
com.example.randy.sample:layout_constraintVertical_bias,2
com.example.randy.sample.R.attr#layout_constraintBaseline_toBaselineOf},2
#ConstraintSet_layout_constraintHorizontal_chainStyle,2
#AlertDialog_showTitle,2
#ActionMode_backgroundSplit,2
#AppCompatTheme_windowActionModeOverlay,2
com.example.randy.sample.R.attr#layout_goneMarginLeft},2
#AppCompatTheme_windowActionBar,2
android.R.attr#gravity},2
#ConstraintLayout_Layout_layout_constraintStart_toEndOf,2
#ConstraintLayout_Layout_android_minHeight,2
com.example.randy.sample:layout_constraintVertical_bias}</code></td><td></td></tr>,2
#MenuItem_android_checked,2
com.example.randy.sample.R.attr#height},2
com.example.randy.sample:layout_constraintBottom_toTopOf}</code></td><td></td></tr>,2
#AppCompatTheme_colorControlHighlight,2
#GradientColor_android_endY,2
TRY,2
#ConstraintSet_android_id,2
com.example.randy.sample:layout_goneMarginBottom,2
#ConstraintLayout_Layout_layout_constraintBaseline_creator,2
#ConstraintSet_layout_goneMarginRight,2
android.R.attr#enterFadeDuration},2
com.example.randy.sample:layout_constraintTop_creator}</code></td><td></td></tr>,2
android:textAppearance,2
#StateListDrawable_android_dither,2
com.example.randy.sample.R.attr#contentInsetStartWithNavigation},2
com.example.randy.sample:layout_constraintHeight_percent}</code></td><td></td></tr>,2
#AppCompatTextHelper_android_drawableTop,2
#ActionBar_progressBarPadding,2
#ConstraintSet_layout_editor_absoluteY,2
#MenuView_preserveIconSpacing,2
#AppCompatTheme_alertDialogTheme,2
#AnimatedStateListDrawableItem_android_drawable,2
com.example.randy.sample.R.attr#layout_constraintHorizontal_chainStyle},2
#AppCompatTheme_seekBarStyle,2
#MenuGroup_android_visible,2
#LinearLayoutCompat_Layout_android_layout_weight,2
com.example.randy.sample.R.attr#layout_constrainedWidth},2
<tr><td>showTitle</td><td>8</td><td></td></tr>,2
#AppCompatTheme_colorError,2
#ConstraintSet_layout_constraintRight_creator,2
com.example.randy.sample.R.attr#contentInsetEnd},2
corresponding,2
